,short_name,long_name,age,dob,height_cm,weight_kg,nationality,Team,League,league_rank,overall,potential,wage_eur,FIFA Position,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic,Goals,General_Position,Appearances,Index
61,J. Kimmich,Joshua Kimmich,24,1995-02-08,176,73,Germany,FC Bayern München,German 1. Bundesliga,1.0,86,88,120000,"RB, CM, CDM",Right,3,4,3,High/Low,72.0,69.0,86.0,84.0,79.0,78.0,1,Midfielder,21,61
62,Isco,Francisco Román Alarcón Suárez,27,1992-04-21,176,79,Spain,Real Madrid,Spain Primera Division,1.0,86,87,250000,"CAM, CM, LW",Right,3,3,4,Medium/Low,71.0,77.0,83.0,91.0,59.0,60.0,1,Midfielder,14,62
63,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,1991-10-02,181,76,Brazil,Liverpool,English Premier League,1.0,86,87,170000,"CF, ST, CAM",Right,3,4,4,High/High,77.0,82.0,80.0,87.0,61.0,78.0,8,Midfielder,26,63
67,L. Bonucci,Leonardo Bonucci,32,1987-05-01,190,85,Italy,Juventus,Italian Serie A,1.0,86,86,160000,CB,Right,3,4,2,Low/High,58.0,58.0,69.0,70.0,87.0,79.0,3,Defender,23,67
68,Coutinho,Philippe Coutinho Correia,27,1992-06-12,172,68,Brazil,FC Bayern München,German 1. Bundesliga,1.0,86,86,170000,"LW, CM",Right,3,4,5,High/Medium,79.0,80.0,84.0,90.0,52.0,64.0,6,Midfielder,19,68
69,Parejo,Daniel Parejo Muñoz,30,1989-04-16,182,74,Spain,Valencia CF,Spain Primera Division,1.0,86,86,70000,CM,Right,2,4,3,Medium/Medium,41.0,80.0,88.0,79.0,70.0,69.0,6,Midfielder,22,69
71,C. Immobile,Ciro Immobile,29,1990-02-20,185,85,Italy,Lazio,Italian Serie A,1.0,86,86,100000,ST,Right,3,4,3,High/Medium,80.0,85.0,63.0,81.0,39.0,76.0,26,Forward,23,71
72,A. Lacazette,Alexandre Lacazette,28,1991-05-28,175,73,France,Arsenal,English Premier League,1.0,86,86,160000,ST,Right,3,4,4,High/High,82.0,85.0,75.0,86.0,40.0,74.0,6,Forward,19,72
73,M. de Ligt,Matthijs de Ligt,19,1999-08-12,189,89,Netherlands,Juventus,Italian Serie A,1.0,85,93,80000,CB,Right,3,4,2,Medium/High,67.0,58.0,66.0,68.0,83.0,84.0,2,Defender,17,73
75,F. de Jong,Frenkie de Jong,22,1997-05-12,180,74,Netherlands,FC Barcelona,Spain Primera Division,1.0,85,91,190000,"CM, CDM",Right,3,3,4,Medium/High,79.0,64.0,84.0,87.0,76.0,76.0,2,Midfielder,23,75
76,R. Varane,Raphaël Varane,26,1993-04-25,191,81,France,Real Madrid,Spain Primera Division,1.0,85,90,200000,CB,Right,3,3,2,Medium/High,83.0,45.0,62.0,63.0,85.0,80.0,3,Defender,20,76
81,Fabinho,Fábio Henrique Tavares,25,1993-10-23,188,78,Brazil,Liverpool,English Premier League,1.0,85,89,120000,CDM,Right,3,2,3,Medium/High,68.0,69.0,78.0,77.0,85.0,83.0,1,Defender,17,81
82,A. Robertson,Andrew Robertson,25,1994-03-11,178,64,Scotland,Liverpool,English Premier League,1.0,85,89,120000,LB,Left,1,2,3,High/High,85.0,62.0,77.0,79.0,80.0,75.0,1,Defender,26,82
84,C. Lenglet,Clément Nicolas Laurent Lenglet,24,1995-06-17,186,81,France,FC Barcelona,Spain Primera Division,1.0,85,89,170000,CB,Left,2,4,2,Medium/High,75.0,45.0,68.0,65.0,86.0,80.0,2,Defender,17,84
90,K. Manolas,Konstantinos Manolas,28,1991-06-14,189,83,Greece,Napoli,Italian Serie A,1.0,85,86,100000,CB,Right,3,2,2,Low/High,82.0,25.0,42.0,60.0,86.0,81.0,2,Defender,17,90
94,Carvajal,Daniel Carvajal Ramos,27,1992-01-11,173,73,Spain,Real Madrid,Spain Primera Division,1.0,85,86,200000,RB,Right,3,3,3,High/High,81.0,47.0,78.0,81.0,82.0,80.0,1,Defender,20,94
99,B. Matuidi,Blaise Matuidi,32,1987-04-09,180,75,France,Juventus,Italian Serie A,1.0,85,85,140000,"CDM, CM",Left,3,2,2,Medium/High,75.0,66.0,76.0,78.0,83.0,81.0,0,Midfielder,21,99
100,G. Bale,Gareth Frank Bale,29,1989-07-16,185,82,Wales,Real Madrid,Spain Primera Division,1.0,85,85,250000,"RW, LW, ST",Left,4,3,4,Medium/Medium,91.0,87.0,82.0,82.0,58.0,76.0,2,Midfielder,14,100
101,Marcelo,Marcelo Vieira da Silva Júnior,31,1988-05-12,174,75,Brazil,Real Madrid,Spain Primera Division,1.0,85,85,200000,LB,Left,4,4,5,High/Low,81.0,74.0,83.0,89.0,77.0,79.0,0,Defender,8,101
102,A. Witsel,Axel Witsel,30,1989-01-12,186,81,Belgium,Borussia Dortmund,German 1. Bundesliga,1.0,85,85,110000,"CDM, CM",Right,3,4,4,Medium/High,73.0,74.0,80.0,79.0,83.0,81.0,4,Midfielder,18,102
103,Alex Sandro,Alex Sandro Lobo Silva,28,1991-01-26,180,80,Brazil,Juventus,Italian Serie A,1.0,85,85,150000,"LB, LM",Left,3,3,3,High/Medium,83.0,65.0,77.0,80.0,82.0,82.0,0,Defender,19,103
104,Iago Aspas,Iago Aspas Juncal,31,1987-08-01,176,67,Spain,RC Celta,Spain Primera Division,1.0,85,85,50000,"ST, RW",Left,2,3,3,High/High,78.0,84.0,77.0,85.0,35.0,64.0,8,Forward,24,104
107,Allan,Allan Marques Loureiro,28,1991-01-08,175,74,Brazil,Napoli,Italian Serie A,1.0,85,85,110000,CM,Right,2,3,4,Medium/High,75.0,71.0,78.0,84.0,85.0,84.0,1,Midfielder,14,107
108,J. Sancho,Jadon Sancho,19,2000-03-25,180,76,England,Borussia Dortmund,German 1. Bundesliga,1.0,84,92,60000,"RM, LM",Right,2,4,5,Medium/Low,88.0,72.0,77.0,90.0,36.0,60.0,13,Midfielder,20,108
109,K. Havertz,Kai Havertz,20,1999-06-11,188,83,Germany,Bayer 04 Leverkusen,German 1. Bundesliga,1.0,84,92,70000,"CAM, RM",Left,1,4,4,Medium/Medium,84.0,78.0,79.0,84.0,44.0,65.0,5,Midfielder,19,109
112,João Cancelo,João Pedro Cavaco Cancelo,25,1994-05-27,182,74,Portugal,Manchester City,English Premier League,1.0,84,89,150000,RB,Right,2,3,4,High/Medium,90.0,65.0,80.0,84.0,78.0,71.0,0,Defender,10,112
113,D. Alli,Bamidele Alli,23,1996-04-11,188,80,England,Tottenham Hotspur,English Premier League,1.0,84,89,110000,"CAM, CM",Right,3,3,4,High/High,72.0,81.0,79.0,82.0,71.0,79.0,7,Midfielder,19,113
115,Arthur,Arthur Henrique Ramos de Oliveira Melo,22,1996-08-12,171,73,Brazil,FC Barcelona,Spain Primera Division,1.0,84,89,180000,CM,Right,2,3,4,Medium/Medium,69.0,71.0,81.0,86.0,73.0,70.0,2,Midfielder,14,115
116,M. Depay,Memphis Depay,25,1994-02-13,176,78,Netherlands,Olympique Lyonnais,French Ligue 1,1.0,84,88,110000,"CF, LW, CAM",Right,3,3,5,High/Low,87.0,80.0,81.0,84.0,32.0,78.0,8,Midfielder,10,116
117,L. Goretzka,Leon Goretzka,24,1995-02-06,189,79,Germany,FC Bayern München,German 1. Bundesliga,1.0,84,88,120000,"CM, CAM, CDM",Right,3,4,3,High/Medium,81.0,77.0,80.0,81.0,75.0,79.0,1,Midfielder,13,117
118,J. Brandt,Julian Brandt,23,1996-05-02,185,83,Germany,Borussia Dortmund,German 1. Bundesliga,1.0,84,88,90000,"CAM, LM, RM",Right,2,4,4,Medium/Medium,82.0,78.0,81.0,85.0,40.0,68.0,3,Midfielder,21,118
120,S. Gnabry,Serge Gnabry,23,1995-07-14,175,75,Germany,FC Bayern München,German 1. Bundesliga,1.0,84,87,120000,"RM, LM, LW",Right,2,4,4,High/Medium,90.0,82.0,75.0,86.0,43.0,69.0,9,Midfielder,20,120
126,S. de Vrij,Stefan de Vrij,27,1992-02-05,189,78,Netherlands,Inter,Italian Serie A,1.0,84,85,90000,CB,Right,3,4,2,Medium/High,66.0,41.0,62.0,68.0,86.0,74.0,1,Defender,21,126
127,Felipe Anderson,Felipe Anderson Pereira Gomes,26,1993-04-15,175,70,Brazil,West Ham United,English Premier League,1.0,84,85,120000,LM,Right,3,4,4,High/Medium,89.0,77.0,79.0,89.0,55.0,61.0,1,Midfielder,19,127
129,João Moutinho,João Filipe Iria Santos Moutinho,32,1986-09-08,170,61,Portugal,Wolverhampton Wanderers,English Premier League,1.0,84,84,120000,CM,Right,3,4,3,High/High,56.0,75.0,85.0,82.0,71.0,67.0,1,Midfielder,26,129
139,G. Wijnaldum,Georginio Wijnaldum,28,1990-11-11,175,69,Netherlands,Liverpool,English Premier League,1.0,84,84,140000,"CM, CDM",Right,3,3,4,High/High,77.0,73.0,78.0,84.0,76.0,78.0,2,Midfielder,25,139
142,A. Vidal,Arturo Erasmo Vidal Pardo,32,1987-05-22,180,75,Chile,FC Barcelona,Spain Primera Division,1.0,84,84,200000,"CM, CDM",Right,4,4,3,High/High,67.0,79.0,80.0,78.0,85.0,86.0,6,Midfielder,19,142
144,Azpilicueta,César Azpilicueta Tanco,29,1989-08-28,178,76,Spain,Chelsea,English Premier League,1.0,84,84,140000,"RB, CB",Right,3,3,2,Medium/Medium,70.0,55.0,77.0,73.0,85.0,76.0,0,Defender,7,144
148,K. Walker,Kyle Walker,29,1990-05-28,183,70,England,Manchester City,English Premier League,1.0,84,84,160000,RB,Right,3,2,2,High/High,91.0,63.0,76.0,77.0,81.0,81.0,1,Defender,20,148
149,Canales,Sergio Canales Madrazo,28,1991-02-16,176,65,Spain,Real Betis,Spain Primera Division,1.0,84,84,40000,"CAM, CM, CF",Left,2,3,4,High/Medium,78.0,79.0,83.0,81.0,51.0,66.0,3,Midfielder,23,149
150,Douglas Costa,Douglas Costa de Souza,28,1990-09-14,172,70,Brazil,Juventus,Italian Serie A,1.0,84,84,150000,"LM, RW, LW",Left,3,3,5,High/Medium,94.0,73.0,79.0,91.0,43.0,61.0,0,Midfielder,12,150
154,R. Mahrez,Riyad Mahrez,28,1991-02-21,179,67,Algeria,Manchester City,English Premier League,1.0,84,84,190000,"RW, RM",Left,3,4,5,Medium/Medium,84.0,78.0,79.0,89.0,38.0,59.0,7,Midfielder,21,154
159,G. Lo Celso,Giovani Lo Celso,23,1996-04-09,177,68,Argentina,Tottenham Hotspur,English Premier League,1.0,83,89,100000,"CM, CAM, CF",Left,1,3,4,High/Medium,77.0,78.0,82.0,85.0,65.0,72.0,0,Midfielder,16,159
160,T. Alexander-Arnold,Trent Alexander-Arnold,20,1998-10-07,180,69,England,Liverpool,English Premier League,1.0,83,89,80000,RB,Right,1,4,3,High/Medium,80.0,62.0,82.0,78.0,78.0,70.0,2,Defender,26,160
162,A. Milik,Arkadiusz Milik,25,1994-02-28,186,78,Poland,Napoli,Italian Serie A,1.0,83,88,90000,ST,Left,3,3,4,Medium/Medium,69.0,85.0,64.0,76.0,39.0,74.0,8,Forward,13,162
163,A. Martial,Anthony Martial,23,1995-12-05,184,76,France,Manchester United,English Premier League,1.0,83,88,140000,"LW, ST, LM",Right,3,3,4,Medium/Low,89.0,81.0,72.0,86.0,41.0,71.0,9,Midfielder,20,163
166,C. Tolisso,Corentin Tolisso,24,1994-08-03,181,81,France,FC Bayern München,German 1. Bundesliga,1.0,83,88,110000,"CM, CDM",Right,2,3,3,High/Medium,69.0,77.0,79.0,78.0,76.0,79.0,1,Midfielder,11,166
168,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,22,1996-11-29,179,68,Portugal,Valencia CF,Spain Primera Division,1.0,83,88,50000,"LM, ST",Right,2,4,4,High/Medium,90.0,79.0,76.0,84.0,36.0,70.0,0,Forward,8,168
170,M. Akanji,Manuel Obafemi Akanji,23,1995-07-19,187,91,Switzerland,Borussia Dortmund,German 1. Bundesliga,1.0,83,88,80000,CB,Right,2,3,2,Medium/High,78.0,45.0,68.0,72.0,83.0,80.0,0,Defender,20,170
171,M. Rashford,Marcus Rashford,21,1997-10-31,186,70,England,Manchester United,English Premier League,1.0,83,88,120000,"ST, LM",Right,2,3,5,High/High,92.0,82.0,73.0,84.0,45.0,77.0,14,Forward,22,171
172,J. Stones,John Stones,25,1994-05-28,188,70,England,Manchester City,English Premier League,1.0,83,87,140000,CB,Right,2,4,3,High/Medium,68.0,36.0,70.0,72.0,84.0,77.0,0,Defender,12,172
173,A. Rabiot,Adrien Rabiot,24,1995-04-03,192,80,France,Juventus,Italian Serie A,1.0,83,87,120000,"CM, CDM",Left,2,3,3,High/Medium,73.0,74.0,79.0,80.0,77.0,80.0,0,Midfielder,15,173
175,T. Werner,Timo Werner,23,1996-03-06,180,75,Germany,RB Leipzig,German 1. Bundesliga,1.0,83,87,70000,ST,Right,3,4,3,High/Medium,92.0,81.0,67.0,83.0,35.0,69.0,20,Forward,22,175
179,L. Digne,Lucas Digne,25,1993-07-20,178,74,France,Everton,English Premier League,1.0,83,86,100000,LB,Left,2,3,3,High/Medium,78.0,69.0,79.0,79.0,80.0,76.0,0,Defender,25,179
180,J. Draxler,Julian Draxler,25,1993-09-20,187,77,Germany,Paris Saint-Germain,French Ligue 1,1.0,83,86,100000,"CAM, CM, LW",Right,3,5,4,Medium/Medium,77.0,79.0,81.0,86.0,55.0,63.0,0,Midfielder,7,180
183,Borja Iglesias,Borja Iglesias Quintas,26,1993-01-17,187,86,Spain,Real Betis,Spain Primera Division,1.0,83,86,40000,ST,Right,1,3,3,High/Medium,67.0,83.0,63.0,76.0,35.0,82.0,3,Defender,23,183
185,W. Zaha,Wilfried Zaha,26,1992-11-10,180,66,Ivory Coast,Crystal Palace,English Premier League,1.0,83,85,90000,"CF, LM, LW",Right,2,3,5,High/Low,91.0,76.0,72.0,88.0,27.0,74.0,3,Forward,26,185
187,Morata,Álvaro Borja Morata Martín,26,1992-10-23,189,84,Spain,Atlético Madrid,Spain Primera Division,1.0,83,85,80000,ST,Right,3,4,3,High/High,81.0,79.0,71.0,80.0,31.0,72.0,7,Forward,20,187
188,S. Haller,Sébastien Haller,25,1994-06-22,190,82,France,West Ham United,English Premier League,1.0,83,85,120000,ST,Right,1,2,3,High/Medium,72.0,81.0,62.0,76.0,51.0,82.0,6,Forward,24,188
189,William Carvalho,William Silva de Carvalho,27,1992-04-07,187,83,Portugal,Real Betis,Spain Primera Division,1.0,83,85,30000,"CDM, CM",Right,3,4,3,Medium/Medium,42.0,57.0,77.0,74.0,79.0,85.0,0,Midfielder,8,189
190,F. Bernardeschi,Federico Bernardeschi,25,1994-02-16,185,77,Italy,Juventus,Italian Serie A,1.0,83,85,130000,"RM, CAM",Left,2,3,5,High/Medium,81.0,75.0,81.0,87.0,60.0,66.0,0,Midfielder,15,190
194,Bartra,Marc Bartra Aregall,28,1991-01-15,184,73,Spain,Real Betis,Spain Primera Division,1.0,83,84,40000,CB,Right,3,3,3,High/Medium,73.0,61.0,73.0,72.0,82.0,74.0,2,Defender,21,194
195,Pablo Sarabia,Pablo Sarabia García,27,1992-05-11,174,70,Spain,Paris Saint-Germain,French Ligue 1,1.0,83,84,100000,"CAM, CM, RM",Left,2,4,4,High/Medium,75.0,76.0,82.0,84.0,57.0,57.0,2,Midfielder,13,195
197,Lucas Moura,Lucas Rodrigues Moura da Silva,26,1992-08-13,174,70,Brazil,Tottenham Hotspur,English Premier League,1.0,83,84,130000,"CF, RM, LM",Right,3,4,4,High/Medium,92.0,79.0,76.0,87.0,42.0,66.0,4,Midfielder,24,197
198,F. Thauvin,Florian Thauvin,26,1993-01-26,179,70,France,Olympique de Marseille,French Ligue 1,1.0,83,84,60000,"RW, RM",Left,2,3,4,High/Medium,83.0,80.0,81.0,83.0,41.0,69.0,0,Midfielder,1,198
199,Jorginho,Luiz Frello Filho Jorge,27,1991-12-20,180,67,Italy,Chelsea,English Premier League,1.0,83,84,140000,"CM, CDM",Right,2,3,3,Medium/Medium,55.0,63.0,84.0,81.0,70.0,73.0,4,Midfielder,24,199
205,Raúl Albiol,Raúl Albiol Tortajada,33,1985-09-04,190,82,Spain,Villarreal CF,Spain Primera Division,1.0,83,83,40000,CB,Right,3,3,2,Low/High,48.0,41.0,61.0,63.0,86.0,72.0,1,Defender,23,205
206,F. Quagliarella,Fabio Quagliarella,36,1983-01-31,180,79,Italy,Sampdoria,Italian Serie A,1.0,83,83,50000,ST,Right,2,4,4,Medium/Medium,69.0,89.0,75.0,80.0,30.0,65.0,6,Forward,19,206
211,E. Garay,Ezequiel Marcelo Garay,32,1986-10-10,189,90,Argentina,Valencia CF,Spain Primera Division,1.0,83,83,50000,CB,Right,3,3,2,Medium/Medium,43.0,60.0,67.0,62.0,82.0,81.0,0,Defender,17,211
213,R. Nainggolan,Radja Nainggolan,31,1988-05-04,176,77,Belgium,Cagliari,Italian Serie A,1.0,83,83,50000,"CAM, CM",Right,3,3,3,High/High,72.0,79.0,78.0,83.0,83.0,82.0,5,Midfielder,19,213
214,E. Banega,Éver Maximiliano David Banega,31,1988-06-29,174,71,Argentina,Sevilla FC,Spain Primera Division,1.0,83,83,30000,"CDM, CM, CAM",Right,3,4,4,High/Medium,61.0,73.0,84.0,82.0,77.0,70.0,2,Midfielder,22,214
216,S. Khedira,Sami Khedira,32,1987-04-04,189,90,Germany,Juventus,Italian Serie A,1.0,83,83,130000,"CM, CDM",Right,3,4,2,Medium/High,51.0,74.0,78.0,77.0,80.0,80.0,0,Midfielder,12,216
217,David Luiz,David Luiz Moreira Marinho,32,1987-04-22,189,86,Brazil,Arsenal,English Premier League,1.0,83,83,100000,CB,Right,4,3,3,Medium/Medium,61.0,65.0,74.0,70.0,82.0,77.0,2,Defender,23,217
219,J. Henderson,Jordan Brian Henderson,29,1990-06-17,182,80,England,Liverpool,English Premier League,1.0,83,83,110000,"CDM, CM",Right,2,3,3,High/High,64.0,70.0,83.0,77.0,78.0,80.0,3,Midfielder,25,219
