,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic
21,H. Kane,Harry Kane,26,1993-07-28,188,89,England,Tottenham Hotspur,English Premier League,1.0,88,89,220000,ST,Right,3,4,3,High/High,68.0,91.0,80.0,80.0,47.0,83.0
22,P. Dybala,Paulo Bruno Exequiel Dybala,26,1993-11-15,177,75,Argentina,Juventus,Italian Serie A,1.0,88,89,190000,"CF, CAM",Left,3,3,4,Medium/Medium,85.0,85.0,84.0,92.0,43.0,63.0
23,S. Handanovič,Samir Handanovič,35,1984-07-14,193,92,Slovenia,Inter,Italian Serie A,1.0,88,88,100000,GK,Right,3,3,1,Medium/Medium,,,,,,
24,T. Kroos,Toni Kroos,30,1990-01-04,183,76,Germany,Real Madrid,Spain Primera Division,1.0,88,88,310000,CM,Right,4,5,3,Medium/Medium,54.0,81.0,91.0,81.0,71.0,69.0
25,E. Hazard,Eden Hazard,29,1991-01-07,175,74,Belgium,Real Madrid,Spain Primera Division,1.0,88,88,350000,"LW, ST",Right,4,4,4,High/Medium,88.0,82.0,83.0,92.0,35.0,66.0
26,K. Koulibaly,Kalidou Koulibaly,29,1991-06-20,187,89,Senegal,Napoli,Italian Serie A,1.0,88,88,140000,CB,Right,3,3,2,Medium/High,75.0,28.0,55.0,68.0,89.0,86.0
27,N. Kanté,N'Golo Kanté,29,1991-03-29,168,70,France,Chelsea,English Premier League,1.0,88,88,190000,"CDM, CM",Right,3,3,2,Medium/High,77.0,66.0,76.0,81.0,86.0,82.0
28,J. Sancho,Jadon Sancho,20,2000-03-25,180,76,England,Borussia Dortmund,German 1. Bundesliga,1.0,87,93,82000,"RM, LM, CAM",Right,3,3,5,High/Medium,83.0,74.0,81.0,91.0,37.0,64.0
29,T. Alexander-Arnold,Trent Alexander-Arnold,21,1998-10-07,180,69,England,Liverpool,English Premier League,1.0,87,92,110000,RB,Right,2,4,3,High/Medium,80.0,66.0,87.0,80.0,80.0,71.0
30,Bruno Fernandes,Bruno Miguel Borges Fernandes,25,1994-09-08,179,69,Portugal,Manchester United,English Premier League,1.0,87,90,195000,"CAM, CM",Right,2,4,4,High/High,77.0,83.0,88.0,85.0,68.0,75.0
31,A. Laporte,Aymeric Laporte,26,1994-05-27,189,85,France,Manchester City,English Premier League,1.0,87,90,200000,CB,Left,2,3,2,Medium/Medium,63.0,50.0,72.0,68.0,88.0,81.0
32,Fabinho,Fábio Henrique Tavares,26,1993-10-23,188,78,Brazil,Liverpool,English Premier League,1.0,87,89,155000,CDM,Right,3,2,3,Medium/High,67.0,69.0,79.0,77.0,85.0,83.0
33,A. Robertson,Andrew Robertson,26,1994-03-11,178,64,Scotland,Liverpool,English Premier League,1.0,87,89,155000,LB,Left,3,2,3,High/High,82.0,62.0,80.0,80.0,81.0,76.0
34,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,25,1994-08-10,173,64,Portugal,Manchester City,English Premier League,1.0,87,88,230000,"RW, CAM, CM",Left,2,3,4,High/High,81.0,77.0,83.0,92.0,51.0,67.0
35,G. Chiellini,Giorgio Chiellini,35,1984-08-14,187,85,Italy,Juventus,Italian Serie A,1.0,87,87,94000,CB,Left,4,3,2,Medium/High,66.0,46.0,58.0,60.0,90.0,79.0
36,H. Lloris,Hugo Lloris,33,1986-12-26,188,82,France,Tottenham Hotspur,English Premier League,1.0,87,87,125000,GK,Left,4,1,1,Medium/Medium,,,,,,
37,L. Suárez,Luis Alberto Suárez Díaz,33,1987-01-24,182,86,Uruguay,FC Barcelona,Spain Primera Division,1.0,87,87,280000,ST,Right,5,4,3,High/Medium,70.0,90.0,82.0,83.0,51.0,83.0
38,L. Modrić,Luka Modrić,34,1985-09-09,172,66,Croatia,Real Madrid,Spain Primera Division,1.0,87,87,260000,CM,Right,4,4,4,High/Medium,73.0,76.0,89.0,88.0,71.0,66.0
39,A. Di María,Ángel Fabián Di María Hernández,32,1988-02-14,180,69,Argentina,Paris Saint-Germain,French Ligue 1,1.0,87,87,160000,"RW, LW",Left,4,2,5,High/Medium,83.0,81.0,85.0,88.0,48.0,68.0
40,W. Szczęsny,Wojciech Szczęsny,30,1990-04-18,195,90,Poland,Juventus,Italian Serie A,1.0,87,87,105000,GK,Right,3,3,1,Medium/Medium,,,,,,
41,P. Aubameyang,Pierre-Emerick Aubameyang,31,1989-06-18,187,80,Gabon,Arsenal,English Premier League,1.0,87,87,170000,"ST, LW",Right,3,4,4,High/High,93.0,86.0,75.0,80.0,38.0,69.0
42,Sergio Busquets,Sergio Busquets i Burgos,31,1988-07-16,189,76,Spain,FC Barcelona,Spain Primera Division,1.0,87,87,240000,CDM,Right,4,3,3,Medium/Medium,42.0,62.0,80.0,80.0,83.0,77.0
43,C. Immobile,Ciro Immobile,30,1990-02-20,185,85,Italy,Lazio,Italian Serie A,1.0,87,87,125000,ST,Right,3,4,3,High/Medium,84.0,88.0,67.0,83.0,39.0,77.0
44,K. Navas,Keylor Navas Gamboa,33,1986-12-15,185,80,Costa Rica,Paris Saint-Germain,French Ligue 1,1.0,87,87,110000,GK,Right,3,3,1,Medium/Medium,,,,,,
45,A. Griezmann,Antoine Griezmann,29,1991-03-21,176,73,France,FC Barcelona,Spain Primera Division,1.0,87,87,290000,"ST, CF, LW",Left,4,3,4,Medium/Medium,79.0,85.0,84.0,88.0,57.0,72.0
46,H. Son,손흥민 孙兴慜,27,1992-07-08,183,78,Korea Republic,Tottenham Hotspur,English Premier League,1.0,87,87,165000,"LM, CF",Right,3,5,4,High/High,88.0,86.0,80.0,87.0,43.0,69.0
47,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,28,1991-10-02,181,76,Brazil,Liverpool,English Premier League,1.0,87,87,190000,CF,Right,3,4,5,High/High,77.0,80.0,81.0,90.0,61.0,78.0
48,R. Varane,Raphaël Varane,27,1993-04-25,191,81,France,Real Madrid,Spain Primera Division,1.0,86,88,220000,CB,Right,3,3,2,Medium/High,82.0,49.0,64.0,64.0,87.0,82.0
49,P. Pogba,Paul Pogba,27,1993-03-15,191,84,France,Manchester United,English Premier League,1.0,86,87,190000,"CM, CDM",Right,4,4,5,High/Medium,73.0,81.0,86.0,85.0,66.0,85.0
50,M. Verratti,Marco Verratti,27,1992-11-05,165,60,Italy,Paris Saint-Germain,French Ligue 1,1.0,86,87,135000,"CM, CDM",Right,3,4,4,Medium/High,64.0,60.0,85.0,90.0,79.0,67.0
51,A. Gómez,Alejandro Darío Gómez,32,1988-02-15,167,68,Argentina,Atalanta,Italian Serie A,1.0,86,86,100000,"CAM, CF, ST",Right,3,4,4,High/Medium,90.0,79.0,84.0,88.0,39.0,55.0
52,Piqué,Gerard Piqué Bernabéu,33,1987-02-02,194,85,Spain,FC Barcelona,Spain Primera Division,1.0,86,86,220000,CB,Right,4,3,2,High/Medium,57.0,61.0,71.0,67.0,86.0,80.0
53,David Silva,David Josué Jiménez Silva,34,1986-01-08,173,67,Spain,Real Sociedad,Spain Primera Division,1.0,86,86,58000,"CAM, CM",Left,4,2,4,High/Medium,64.0,74.0,88.0,88.0,52.0,55.0
54,Y. Sommer,Yann Sommer,31,1988-12-17,183,79,Switzerland,Borussia Mönchengladbach,German 1. Bundesliga,1.0,86,86,55000,GK,Right,3,4,1,Medium/Medium,,,,,,
55,M. Hummels,Mats Hummels,31,1988-12-16,191,94,Germany,Borussia Dortmund,German 1. Bundesliga,1.0,86,86,93000,CB,Right,4,3,3,High/High,58.0,58.0,77.0,72.0,89.0,77.0
56,J. Henderson,Jordan Brian Henderson,30,1990-06-17,182,80,England,Liverpool,English Premier League,1.0,86,86,140000,"CDM, CM",Right,2,3,3,High/High,65.0,74.0,84.0,79.0,81.0,82.0
57,Jordi Alba,Jordi Alba Ramos,31,1989-03-21,170,68,Spain,FC Barcelona,Spain Primera Division,1.0,86,86,220000,LB,Left,3,3,3,High/Medium,88.0,69.0,81.0,83.0,78.0,72.0
58,T. Müller,Thomas Müller,30,1989-09-13,186,75,Germany,FC Bayern München,German 1. Bundesliga,1.0,86,86,130000,"CAM, RM, RW",Right,4,4,3,High/High,68.0,82.0,82.0,78.0,56.0,71.0
59,De Gea,David De Gea Quintana,29,1990-11-07,192,82,Spain,Manchester United,English Premier League,1.0,86,86,150000,GK,Right,4,3,1,Medium/Medium,,,,,,
60,Carvajal,Daniel Carvajal Ramos,28,1992-01-11,173,73,Spain,Real Madrid,Spain Primera Division,1.0,86,86,230000,RB,Right,3,3,3,High/High,80.0,54.0,78.0,80.0,82.0,80.0
61,J. Vardy,Jamie Vardy,33,1987-01-11,179,74,England,Leicester City,English Premier League,1.0,86,86,160000,ST,Right,3,3,3,High/High,88.0,85.0,66.0,78.0,55.0,75.0
62,K. Havertz,Kai Havertz,21,1999-06-11,188,83,Germany,Chelsea,English Premier League,1.0,85,93,105000,"CAM, RM, CF",Left,3,4,4,Medium/Medium,84.0,81.0,79.0,85.0,45.0,67.0
63,G. Donnarumma,Gianluigi Donnarumma,21,1999-02-25,196,90,Italy,Milan,Italian Serie A,1.0,85,92,34000,GK,Right,3,3,1,Medium/Medium,,,,,,
64,M. de Ligt,Matthijs de Ligt,20,1999-08-12,189,89,Netherlands,Juventus,Italian Serie A,1.0,85,92,80000,CB,Right,3,4,2,Medium/High,72.0,59.0,66.0,69.0,85.0,84.0
65,M. Rashford,Marcus Rashford,22,1997-10-31,186,70,England,Manchester United,English Premier League,1.0,85,91,150000,"LM, ST",Right,2,4,5,High/Medium,91.0,83.0,78.0,86.0,45.0,78.0
66,L. Sané,Leroy Sané,24,1996-01-11,183,75,Germany,FC Bayern München,German 1. Bundesliga,1.0,85,90,100000,LM,Left,2,3,4,High/Medium,93.0,81.0,79.0,86.0,38.0,67.0
67,F. de Jong,Frenkie de Jong,23,1997-05-12,180,74,Netherlands,FC Barcelona,Spain Primera Division,1.0,85,90,190000,CM,Right,3,3,4,Medium/High,80.0,64.0,84.0,87.0,76.0,77.0
68,Marquinhos,Marcos Aoás Corrêa,26,1994-05-14,183,75,Brazil,Paris Saint-Germain,French Ligue 1,1.0,85,89,115000,"CB, CDM",Right,3,3,3,Medium/High,72.0,41.0,73.0,70.0,87.0,78.0
69,C. Lenglet,Clément Nicolas Laurent Lenglet,25,1995-06-17,186,81,France,FC Barcelona,Spain Primera Division,1.0,85,89,190000,CB,Left,2,4,2,Medium/High,74.0,45.0,67.0,65.0,87.0,81.0
70,S. Milinković-Savić,Sergej Milinković-Savić,25,1995-02-27,191,76,Serbia,Lazio,Italian Serie A,1.0,85,89,94000,"CM, CDM, CAM",Right,2,4,4,High/Medium,69.0,79.0,80.0,83.0,79.0,85.0
71,M. Škriniar,Milan Škriniar,25,1995-02-11,188,80,Slovakia,Inter,Italian Serie A,1.0,85,89,130000,CB,Right,1,4,2,Medium/High,69.0,41.0,59.0,66.0,87.0,81.0
72,M. Depay,Memphis Depay,26,1994-02-13,176,78,Netherlands,Olympique Lyonnais,French Ligue 1,1.0,85,88,115000,"CF, LW, CAM",Right,3,3,5,High/Low,86.0,83.0,81.0,84.0,32.0,80.0
73,T. Werner,Timo Werner,24,1996-03-06,180,76,Germany,Chelsea,English Premier League,1.0,85,88,135000,ST,Right,3,4,3,High/Medium,91.0,85.0,69.0,84.0,35.0,71.0
74,Rodri,Rodrigo Hernández Cascante,24,1996-06-22,191,82,Spain,Manchester City,English Premier League,1.0,85,88,145000,"CDM, CM",Right,2,4,3,Medium/High,65.0,68.0,77.0,77.0,82.0,79.0
75,B. Leno,Bernd Leno,28,1992-03-04,190,82,Germany,Arsenal,English Premier League,1.0,85,87,105000,GK,Right,3,3,1,Medium/Medium,,,,,,
76,S. Gnabry,Serge Gnabry,24,1995-07-14,175,75,Germany,FC Bayern München,German 1. Bundesliga,1.0,85,87,100000,"RM, LM, RW",Right,3,4,4,High/Medium,82.0,83.0,78.0,86.0,43.0,70.0
77,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,26,1993-10-06,175,70,Portugal,Leicester City,English Premier League,1.0,85,87,120000,RB,Right,3,4,3,High/High,83.0,66.0,79.0,82.0,81.0,76.0
78,R. Lukaku,Romelu Lukaku Menama,27,1993-05-13,191,94,Belgium,Inter,Italian Serie A,1.0,85,86,165000,ST,Left,3,4,3,Medium/Medium,81.0,83.0,76.0,75.0,38.0,84.0
79,Luis Alberto,Luis Alberto Romero Alconchel,27,1992-09-28,183,74,Spain,Lazio,Italian Serie A,1.0,85,86,99000,"CAM, CM, CF",Right,2,3,4,Medium/Medium,74.0,76.0,86.0,85.0,58.0,59.0
80,M. Icardi,Mauro Emanuel Icardi Rivero,27,1993-02-19,181,75,Argentina,Paris Saint-Germain,French Ligue 1,1.0,85,86,135000,ST,Right,3,4,3,Medium/Medium,73.0,85.0,65.0,78.0,36.0,68.0
81,H. Ziyech,Hakim Ziyech,27,1993-03-19,181,65,Morocco,Chelsea,English Premier League,1.0,85,86,140000,"CAM, RW",Left,3,2,5,High/High,80.0,76.0,87.0,84.0,50.0,66.0
82,Thiago Silva,Thiago Emiliano da Silva,35,1984-09-22,183,79,Brazil,Chelsea,English Premier League,1.0,85,85,93000,CB,Right,4,3,2,Medium/High,59.0,54.0,72.0,71.0,86.0,78.0
83,D. Mertens,Dries Mertens,33,1987-05-06,169,61,Belgium,Napoli,Italian Serie A,1.0,85,85,115000,"CF, ST",Right,3,4,4,High/Low,86.0,82.0,80.0,89.0,35.0,51.0
84,M. Pjanić,Miralem Pjanić,30,1990-04-02,178,72,Bosnia Herzegovina,FC Barcelona,Spain Primera Division,1.0,85,85,220000,"CM, CDM",Right,3,4,3,Medium/Medium,67.0,68.0,87.0,85.0,75.0,67.0
85,G. Wijnaldum,Georginio Wijnaldum,29,1990-11-11,175,69,Netherlands,Liverpool,English Premier League,1.0,85,85,150000,CM,Right,3,4,4,High/High,76.0,75.0,81.0,86.0,78.0,79.0
86,D. Godín,Diego Roberto Godín Leal,34,1986-02-16,187,78,Uruguay,Inter,Italian Serie A,1.0,85,85,135000,CB,Right,3,3,2,Medium/High,57.0,48.0,64.0,61.0,87.0,79.0
87,T. Alderweireld,Toby Alderweireld,31,1989-03-02,186,81,Belgium,Tottenham Hotspur,English Premier League,1.0,85,85,130000,CB,Right,3,3,2,Medium/Medium,63.0,55.0,72.0,67.0,87.0,79.0
88,L. Bonucci,Leonardo Bonucci,33,1987-05-01,190,85,Italy,Juventus,Italian Serie A,1.0,85,85,110000,CB,Right,3,4,2,Medium/High,60.0,58.0,69.0,70.0,87.0,77.0
89,P. Gulácsi,Péter Gulácsi,30,1990-05-06,191,86,Hungary,RB Leipzig,German 1. Bundesliga,1.0,85,85,65000,GK,Right,2,2,1,Medium/Medium,,,,,,
90,M. Reus,Marco Reus,31,1989-05-31,180,71,Germany,Borussia Dortmund,German 1. Bundesliga,1.0,85,85,94000,"CAM, CF",Right,4,4,4,High/Medium,80.0,86.0,84.0,85.0,45.0,63.0
91,K. Walker,Kyle Walker,30,1990-05-28,183,70,England,Manchester City,English Premier League,1.0,85,85,170000,RB,Right,3,2,3,High/High,92.0,63.0,76.0,77.0,80.0,82.0
92,Thiago,Thiago Alcântara do Nascimento,29,1991-04-11,174,70,Spain,Liverpool,English Premier League,1.0,85,85,150000,"CM, CDM",Right,3,3,5,Medium/Medium,64.0,72.0,85.0,90.0,70.0,62.0
93,Parejo,Daniel Parejo Muñoz,31,1989-04-16,182,74,Spain,Villarreal CF,Spain Primera Division,1.0,85,85,59000,CM,Right,2,4,3,Medium/Medium,50.0,83.0,90.0,81.0,71.0,69.0
94,C. Eriksen,Christian Dannemann Eriksen,28,1992-02-14,181,76,Denmark,Inter,Italian Serie A,1.0,85,85,155000,"CAM, CM, RM",Right,3,5,4,High/High,72.0,81.0,88.0,81.0,53.0,63.0
95,Alex Sandro,Alex Sandro Lobo Silva,29,1991-01-26,180,80,Brazil,Juventus,Italian Serie A,1.0,85,85,120000,"LB, LM",Left,3,3,3,High/Medium,81.0,65.0,77.0,80.0,81.0,81.0
96,Koke,Jorge Resurrección Merodio,28,1992-01-08,176,77,Spain,Atlético Madrid,Spain Primera Division,1.0,85,85,92000,"CM, RM, LM",Right,3,4,3,High/High,67.0,75.0,85.0,81.0,76.0,80.0
97,L. Insigne,Lorenzo Insigne,29,1991-06-04,163,59,Italy,Napoli,Italian Serie A,1.0,85,85,120000,"LW, CF",Right,3,4,4,High/Medium,88.0,78.0,83.0,91.0,36.0,44.0
98,R. Mahrez,Riyad Mahrez,29,1991-02-21,179,67,Algeria,Manchester City,English Premier League,1.0,85,85,210000,"RW, RM",Left,3,4,5,Medium/Medium,83.0,79.0,81.0,90.0,38.0,59.0
99,E. Haaland,Erling Haaland,19,2000-07-21,194,88,Norway,Borussia Dortmund,German 1. Bundesliga,1.0,84,92,56000,ST,Left,2,3,3,High/High,84.0,87.0,63.0,76.0,43.0,85.0
100,L. Martínez,Lautaro Javier Martínez,22,1997-08-22,174,81,Argentina,Inter,Italian Serie A,1.0,84,91,130000,ST,Right,1,4,4,High/Medium,83.0,82.0,71.0,85.0,48.0,82.0
101,Oyarzabal,Mikel Oyarzabal Ugarte,23,1997-04-21,181,79,Spain,Real Sociedad,Spain Primera Division,1.0,84,90,47000,"LW, RW",Left,1,3,3,High/Medium,81.0,82.0,80.0,84.0,41.0,63.0
102,N. Süle,Niklas Süle,24,1995-09-03,195,97,Germany,FC Bayern München,German 1. Bundesliga,1.0,84,89,84000,CB,Right,2,3,2,Medium/Medium,69.0,42.0,59.0,49.0,85.0,81.0
103,Arthur,Arthur Henrique Ramos de Oliveira Melo,23,1996-08-12,171,73,Brazil,Juventus,Italian Serie A,1.0,84,89,98000,CM,Right,2,3,4,Medium/Medium,66.0,73.0,82.0,87.0,75.0,71.0
104,L. Goretzka,Leon Goretzka,25,1995-02-06,189,76,Germany,FC Bayern München,German 1. Bundesliga,1.0,84,88,105000,"CM, CDM",Right,3,4,3,High/Medium,78.0,78.0,80.0,82.0,77.0,85.0
105,Grimaldo,Alejandro Grimaldo García,24,1995-09-20,171,69,Spain,SL Benfica,Portuguese Liga ZON SAGRES,1.0,84,88,20000,LB,Left,3,2,3,High/Medium,85.0,65.0,79.0,84.0,77.0,71.0
106,A. Martial,Anthony Martial,24,1995-12-05,184,76,France,Manchester United,English Premier League,1.0,84,88,155000,ST,Right,3,3,4,Medium/Medium,89.0,83.0,74.0,87.0,41.0,72.0
107,J. Brandt,Julian Brandt,24,1996-05-02,185,83,Germany,Borussia Dortmund,German 1. Bundesliga,1.0,84,88,75000,"CAM, CM",Right,3,4,4,High/Medium,81.0,78.0,82.0,87.0,51.0,66.0
108,K. Coman,Kingsley Coman,24,1996-06-13,179,75,France,FC Bayern München,German 1. Bundesliga,1.0,84,88,94000,"LM, RM, LW",Right,3,3,4,Medium/Low,93.0,76.0,77.0,87.0,29.0,59.0
109,J. Giménez,José María Giménez de Vargas,25,1995-01-20,185,80,Uruguay,Atlético Madrid,Spain Primera Division,1.0,84,88,70000,CB,Right,2,3,2,Medium/High,67.0,45.0,53.0,54.0,86.0,83.0
110,A. Onana,André Onana,24,1996-04-02,190,93,Cameroon,Ajax,Holland Eredivisie,1.0,84,88,18000,GK,Right,3,3,1,Medium/Medium,,,,,,
111,W. Ndidi,Onyinye Wilfred Ndidi,23,1996-12-16,183,74,Nigeria,Leicester City,English Premier League,1.0,84,88,96000,"CDM, CM",Right,1,4,3,Medium/High,71.0,62.0,68.0,74.0,87.0,84.0
112,Saúl,Saúl Ñíguez Esclápez,25,1994-11-21,184,76,Spain,Atlético Madrid,Spain Primera Division,1.0,84,87,77000,"CM, LM, LB",Left,3,4,3,High/High,68.0,79.0,79.0,81.0,78.0,79.0
113,R. Bürki,Roman Bürki,29,1990-11-14,187,85,Switzerland,Borussia Dortmund,German 1. Bundesliga,1.0,84,85,67000,GK,Right,3,2,1,Medium/Medium,,,,,,
114,S. de Vrij,Stefan de Vrij,28,1992-02-05,189,78,Netherlands,Inter,Italian Serie A,1.0,84,85,130000,CB,Right,3,4,2,Medium/High,68.0,41.0,62.0,68.0,86.0,75.0
115,L. Digne,Lucas Digne,26,1993-07-20,178,74,France,Everton,English Premier League,1.0,84,85,110000,LB,Left,2,2,3,High/Medium,78.0,69.0,80.0,79.0,80.0,76.0
116,R. Guerreiro,Raphaël Adelino José Guerreiro,26,1993-12-22,170,71,Portugal,Borussia Dortmund,German 1. Bundesliga,1.0,84,85,86000,"LM, LB, CM",Left,3,2,4,Medium/Medium,74.0,78.0,84.0,87.0,73.0,57.0
117,T. Partey,Thomas Teye Partey,27,1993-06-13,185,77,Ghana,Atlético Madrid,Spain Primera Division,1.0,84,85,81000,CM,Right,2,3,3,Medium/High,71.0,74.0,81.0,81.0,82.0,85.0
118,Alex Telles,Alex Nicolao Telles,27,1992-12-15,181,71,Brazil,FC Porto,Portuguese Liga ZON SAGRES,1.0,84,85,23000,LB,Left,3,2,3,High/High,85.0,74.0,83.0,81.0,79.0,76.0
119,M. Brozović,Marcelo Brozović,27,1992-11-16,181,68,Croatia,Inter,Italian Serie A,1.0,84,85,125000,"CDM, CM",Right,2,4,3,Medium/High,63.0,74.0,80.0,81.0,79.0,78.0
120,Fernandinho,Fernando Luiz Rosa,35,1985-05-04,179,67,Brazil,Manchester City,English Premier League,1.0,84,84,110000,"CB, CDM",Right,3,4,3,Medium/High,64.0,72.0,78.0,78.0,85.0,79.0
121,Jesús Navas,Jesús Navas González,34,1985-11-21,172,60,Spain,Sevilla FC,Spain Primera Division,1.0,84,84,43000,"RB, RM",Right,2,2,4,High/Medium,87.0,69.0,79.0,83.0,80.0,58.0
122,K. Schmeichel,Kasper Schmeichel,33,1986-11-05,189,89,Denmark,Leicester City,English Premier League,1.0,84,84,90000,GK,Right,2,3,1,Medium/Medium,,,,,,
123,S. Sirigu,Salvatore Sirigu,33,1987-01-12,192,80,Italy,Torino,Italian Serie A,1.0,84,84,54000,GK,Right,3,2,1,Medium/Medium,,,,,,
124,Lucas Leiva,Lucas Pezzini Leiva,33,1987-01-09,179,78,Brazil,Lazio,Italian Serie A,1.0,84,84,83000,CDM,Right,3,3,3,Medium/High,60.0,66.0,76.0,78.0,83.0,71.0
125,A. Witsel,Axel Witsel,31,1989-01-12,186,81,Belgium,Borussia Dortmund,German 1. Bundesliga,1.0,84,84,79000,"CDM, CM",Right,3,4,4,Medium/Medium,63.0,73.0,81.0,79.0,82.0,82.0
126,Rui Patrício,Rui Pedro dos Santos Patrício,32,1988-02-15,190,84,Portugal,Wolverhampton Wanderers,English Premier League,1.0,84,84,90000,GK,Left,3,2,1,Medium/Medium,,,,,,
127,Azpilicueta,César Azpilicueta Tanco,30,1989-08-28,178,77,Spain,Chelsea,English Premier League,1.0,84,84,120000,"RB, LB",Right,3,3,2,Medium/Medium,67.0,55.0,77.0,72.0,84.0,76.0
128,Douglas Costa,Douglas Costa de Souza,29,1990-09-14,172,70,Brazil,Juventus,Italian Serie A,1.0,84,84,120000,"LM, RW, LW",Left,3,3,5,High/Medium,93.0,73.0,79.0,91.0,43.0,59.0
